fecha,bbox0,bbox1,bbox2,bbox3,bbox4,bbox5,bbox6,bbox7,bbox8,bbox9,bbox10,bbox11,bbox12,bbox13,bbox14,bbox15,bbox16,bbox17,bbox18,bbox19,bbox20,bbox21,bbox22,bbox23,bbox24,bbox25,bbox26,bbox27,bbox28,bbox29,bbox30,bbox31,bbox32,bbox33,bbox34,bbox35,bbox36,bbox37,bbox38,bbox39,bbox40,bbox41,bbox42,bbox43,bbox44,bbox45,bbox46,bbox47,bbox48,bbox49,bbox50,bbox51,bbox52,bbox53,bbox54,bbox55,bbox56,bbox57,bbox58,bbox59,bbox60,bbox61,bbox62,bbox63,bbox64,bbox65,bbox66,bbox67,bbox68,bbox69,bbox70,bbox71,bbox72,bbox73,bbox74,bbox75,bbox76,bbox77,bbox78,bbox79,bbox80,bbox81,bbox82,bbox83,bbox84,bbox85,bbox86,bbox87,bbox88,bbox89,bbox90,bbox91,bbox92,bbox93,bbox94,bbox95,bbox96,bbox97,bbox98,bbox99,bbox100,bbox101,bbox102,bbox103,bbox104,bbox105,bbox106,bbox107,bbox108,bbox109,bbox110,bbox111,bbox112,bbox113,bbox114,bbox115,bbox116,bbox117,bbox118,bbox119,bbox120,bbox121,bbox122,bbox123,bbox124,bbox125,bbox126,bbox127,bbox128,bbox129,bbox130,bbox131,bbox132,bbox133,bbox134,bbox135,bbox136,bbox137,bbox138,bbox139,bbox140,bbox141,bbox142,bbox143,bbox144,bbox145,bbox146,bbox147,bbox148,bbox149,bbox150,bbox151,bbox152,bbox153,bbox154,bbox155,bbox156,bbox157,bbox158,bbox159,bbox160,bbox161,bbox162,bbox163,bbox164,bbox165,bbox166,bbox167,bbox168,bbox169,bbox170,bbox171,bbox172,bbox173,bbox174,bbox175,bbox176,bbox177,bbox178,bbox179,bbox180,bbox181,bbox182,bbox183,bbox184,bbox185,bbox186,bbox187,bbox188,bbox189,bbox190,bbox191,bbox192,bbox193,bbox194
2019-01-11,0,0,97,0,0,0,0,19,1,2,0,0,1,0,0,15,0,0,1,0,0,1,0,7,0,0,0,4,4,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,9,1,19,0,0,0,0,1,13,0,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,1,0,23,0,0,7,1,7,0,0,1,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,37,4,0,0,0,0,1,20,0,0
2019-01-12,2,0,91,1,0,0,0,20,0,5,0,0,0,0,0,8,0,1,1,0,0,0,0,7,0,0,0,11,0,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,9,0,9,0,0,0,0,0,14,1,35,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,26,0,0,5,0,6,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,69,0,0,0,0,0,0,27,0,0
2019-01-13,2,0,56,1,0,0,0,29,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,7,1,0,0,8,10,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,8,0,0,0,0,0,10,0,15,1,0,0,0,0,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,22,2,0,3,0,7,0,0,0,0,0,0,1,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,67,4,0,0,0,0,1,19,0,0
2019-01-14,0,0,81,0,0,0,1,37,0,1,0,0,0,1,1,13,0,0,0,0,1,0,0,8,0,0,0,13,2,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,2,0,7,0,0,0,0,2,9,0,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,17,2,0,4,0,4,1,0,2,1,0,0,4,1,0,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,4,0,0,0,0,36,9,0,0,0,0,2,23,0,1
2019-01-15,1,0,64,0,1,0,0,17,0,2,0,0,0,0,0,12,0,0,0,1,0,0,0,14,0,0,0,11,3,12,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,11,0,0,1,0,2,13,3,13,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,0,0,0,1,2,0,0,0,0,2,0,19,3,0,4,0,5,0,0,3,0,0,1,8,0,0,0,15,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,0,65,6,0,0,1,0,0,20,2,0
2019-01-16,3,0,56,0,0,0,0,28,0,1,0,1,0,0,0,7,0,0,0,0,0,0,0,9,0,0,0,17,3,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,7,0,0,0,0,2,21,2,10,1,0,1,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,31,5,0,4,0,6,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,0,4,1,0,0,0,25,4,0,1,0,1,0,14,0,0
2019-01-17,3,0,71,0,0,1,0,17,1,0,0,0,0,0,0,7,1,1,0,1,0,0,0,10,0,0,0,6,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,5,1,24,0,0,0,0,4,20,16,6,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,1,3,0,0,0,0,2,3,0,19,5,0,1,0,6,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,66,4,0,0,0,0,0,15,0,0
2019-01-18,1,0,65,0,1,1,0,15,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,10,0,0,0,8,2,12,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,2,2,12,0,0,0,0,1,31,3,12,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,1,0,1,0,9,4,0,6,0,8,0,0,0,1,0,0,3,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,5,1,0,0,0,0,0,0,0,1,11,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,7,1,0,0,0,75,3,0,0,0,0,0,12,0,0
2019-01-19,0,0,74,0,0,0,0,40,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,6,2,0,0,12,2,12,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,1,1,0,1,0,0,0,3,0,0,1,0,0,0,4,0,20,0,0,0,0,0,21,2,12,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,0,4,1,0,0,0,1,1,0,16,1,0,2,0,7,0,0,2,0,0,0,2,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,3,0,13,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,53,1,0,0,0,0,0,34,0,0
2019-01-20,0,0,60,0,0,0,0,11,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,8,1,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,5,0,24,0,0,0,0,0,26,2,9,4,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,2,0,30,5,0,3,0,6,0,1,3,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,3,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,55,3,0,0,0,0,1,10,0,0
