new_cluster_id,coordinates
44,"[[[88.7536, 31.6054], [88.7536, 34.9229], [95.0293, 34.9229], [95.0293, 31.6054], [88.7536, 31.6054]]]"
45,"[[[150.1301, 46.4251], [150.1301, 53.3714], [155.9995, 53.3714], [155.9995, 46.4251], [150.1301, 46.4251]]]"
46,"[[[70.2604, 33.2812], [70.2604, 37.9259], [73.2217, 37.9259], [73.2217, 33.2812], [70.2604, 33.2812]]]"
47,"[[[136.0827, 28.416], [136.0827, 33.027], [143.6793, 33.027], [143.6793, 28.416], [136.0827, 28.416]]]"
48,"[[[-78.5829, 1.8566], [-78.5829, 5.841], [-73.4809, 5.841], [-73.4809, 1.8566], [-78.5829, 1.8566]]]"
49,"[[[137.4266, -6.5199], [137.4266, -1.0528], [143.851, -1.0528], [143.851, -6.5199], [137.4266, -6.5199]]]"
50,"[[[142.4375, 10.5269], [142.4375, 16.0055], [147.9725, 16.0055], [147.9725, 10.5269], [142.4375, 10.5269]]]"
51,"[[[-68.6271, 41.3646], [-68.6271, 49.0646], [-63.522, 49.0646], [-63.522, 41.3646], [-68.6271, 41.3646]]]"
52,"[[[122.5323, -12.1799], [122.5323, -4.1119], [127.3153, -4.1119], [127.3153, -12.1799], [122.5323, -12.1799]]]"
53,"[[[-87.311, 32.7843333], [-87.311, 38.9033333], [-82.4276667, 38.9033333], [-82.4276667, 32.7843333], [-87.311, 32.7843333]]]"
54,"[[[135.4021, 41.0164], [135.4021, 45.9178], [145.3423, 45.9178], [145.3423, 41.0164], [135.4021, 41.0164]]]"
55,"[[[-72.0669, -20.3734], [-72.0669, -14.7131], [-63.6355, -14.7131], [-63.6355, -20.3734], [-72.0669, -20.3734]]]"
56,"[[[-158.8781, 63.7328], [-158.8781, 68.4502], [-152.1932, 68.4502], [-152.1932, 63.7328], [-158.8781, 63.7328]]]"
57,"[[[41.0325, 39.6596], [41.0325, 44.162], [47.9292, 44.162], [47.9292, 39.6596], [41.0325, 39.6596]]]"
58,"[[[101.6472, -9.7039], [101.6472, -4.2431], [107.1051, -4.2431], [107.1051, -9.7039], [101.6472, -9.7039]]]"
59,"[[[-108.6318333, 40.4276], [-108.6318333, 46.3679], [-100.4879, 46.3679], [-100.4879, 40.4276], [-108.6318333, 40.4276]]]"
60,"[[[-71.9202, -24.0433], [-71.9202, -18.8856], [-63.6603, -18.8856], [-63.6603, -24.0433], [-71.9202, -24.0433]]]"
61,"[[[-135.574, 51.5199], [-135.574, 62.3064], [-129.5342, 62.3064], [-129.5342, 51.5199], [-135.574, 51.5199]]]"
62,"[[[-75.2766, 3.9157], [-75.2766, 9.06], [-71.2743, 9.06], [-71.2743, 3.9157], [-75.2766, 3.9157]]]"
